Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703044,DICLO_OZ_48h_P02_C4_D2,2116823,0.2675,494.7899,1.555453945,0.466636184,4.666361836,no cells,48,2,320,IC50,160
Diclofenac,14703045,DICLO_OZ_48h_P02_D4_D3,2540493,0.3227,597.4958,1.878326941,0.563498082,5.634980824,no cells,48,3,1000,IC85,500
Diclofenac,14703046,DICLO_OZ_24h_P10_A4_VC,100287,0.0125,23.6231,0.074263125,0.022278937,0.222789374,no cells,24,C,0,Control,0
Diclofenac,14703047,DICLO_OZ_24h_P10_B4_D1,245184,0.031,57.7797,0.18164005,0.054492015,0.544920151,no cells,24,1,50,IC01,25
Diclofenac,14703048,DICLO_OZ_24h_P10_C4_D2,445467,0.0568,105.2664,0.330922351,0.099276705,0.992767054,no cells,24,2,320,IC50,160
Diclofenac,14703049,DICLO_OZ_24h_P10_D4_D3,1046361,0.1327,245.179,0.770760767,0.23122823,2.312282301,no cells,24,3,1000,IC85,500
Diclofenac,14703050,DICLO_OZ_6h_P18_A4_VC,17512,0.0022,4.6996,0.01477397,0.004432191,0.044321911,no cells,6,C,0,Control,0
Diclofenac,14703051,DICLO_OZ_6h_P18_B4_D1,94356,0.0118,22.4216,0.070486011,0.021145803,0.211458032,no cells,6,1,50,IC01,25
Diclofenac,14703052,DICLO_OZ_6h_P18_C4_D2,1515446,0.1901,351.4289,1.104774914,0.331432474,3.314324741,no cells,6,2,320,IC50,160
Diclofenac,14703053,DICLO_OZ_6h_P18_D4_D3,2116561,0.2626,485.7305,1.526974222,0.458092267,4.580922666,no cells,6,3,1000,IC85,500
Diclofenac,14703054,DICLO_MZ_48h_P02_A3_VC,5161,0.0007,1.9032,0.005983024,0.001794907,0.017949073,cells,48,C,0,Control,0
Diclofenac,14703055,DICLO_MZ_48h_P02_B3_D1,555798,0.0704,130.251,0.409465577,0.122839673,1.228396731,cells,48,1,50,IC01,25
Diclofenac,14703056,DICLO_MZ_48h_P02_C3_D2,3311036,0.4279,793.4944,2.494480981,0.748344294,7.483442942,cells,48,2,320,IC50,160
Diclofenac,14703057,DICLO_MZ_48h_P02_D3_D3,3578888,0.4617,856.7081,2.69320371,0.807961113,8.079611129,cells,48,3,1000,IC85,500
Diclofenac,14703058,DICLO_MZ_24h_P10_A3_VC,7841,0.001,2.5028,0.007867966,0.00236039,0.023603898,cells,24,C,0,Control,0
Diclofenac,14703059,DICLO_MZ_24h_P10_B3_D1,471318,0.059,109.1856,0.343243005,0.102972902,1.029729016,cells,24,1,50,IC01,25
Diclofenac,14703060,DICLO_MZ_24h_P10_C3_D2,2909314,0.3768,698.1653,2.194798177,0.658439453,6.58439453,cells,24,2,320,IC50,160
Diclofenac,14703061,DICLO_MZ_24h_P10_D3_D3,4813793,0.6288,1170.1719,3.678629047,1.103588714,11.03588714,cells,24,3,1000,IC85,500
Diclofenac,14703062,DICLO_MZ_6h_P18_A3_VC,5036,0.0006,1.8562,0.005835272,0.001750582,0.017505816,cells,6,C,0,Control,0
Diclofenac,14703063,DICLO_MZ_6h_P18_B3_D1,444068,0.0563,104.2493,0.327724929,0.098317479,0.983174788,cells,6,1,50,IC01,25
